Elemento,Fecha,Valor_Original,Valor_reemplazo,Limite,Procedimiento_adoptado,Comentario
Temp.degC.avg.1h.s1,2013-03-21 14:00:00,28.01,28.01,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-23 12:00:00,27.62,27.62,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-24 12:00:00,27.59,27.59,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-24 13:00:00,27.49,27.49,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-24 14:00:00,27.63,27.63,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-25 10:00:00,27.77,27.77,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-25 11:00:00,28.46,28.46,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-25 12:00:00,27.97,27.97,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2013-03-25 13:00:00,27.44,27.44,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-03-18 12:00:00,27.5,27.5,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-03-18 13:00:00,27.8,27.8,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-03-30 13:00:00,27.7,27.7,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-03-31 13:00:00,28.4,28.4,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2016-03-31 14:00:00,27.8,27.8,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-28 13:00:00,27.6,27.6,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-28 14:00:00,27.7,27.7,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-29 12:00:00,27.4,27.4,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-30 12:00:00,27.9,27.9,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-30 13:00:00,28.9,28.9,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-30 14:00:00,28.3,28.3,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-30 15:00:00,27.8,27.8,Mayor_a_27.37,dato_sospechoso,
Temp.degC.avg.1h.s1,2017-03-31 13:00:00,27.4,27.4,Mayor_a_27.37,dato_sospechoso,
